rank_precision_malignant,config_name,learning_rate,width_shift_range,height_shift_range,zoom_low,zoom_high,brightness_low,brightness_high,shear_range,channel_shift_range,epochs_ran,best_val_loss,best_val_loss_epoch,val_accuracy_last,precision_macro,precision_weighted,precision_benign,precision_malignant,recall_benign,recall_malignant,f1_macro
1,moderado,0.001,0.1,0.1,0.9,1.1,0.85,1.15,0.08,15.0,5,0.27073267102241516,2,0.9026764035224915,0.8628630929842592,0.9327196713624106,0.9964028776978417,0.7293233082706767,0.8849840255591054,0.9897959183673469,0.8886105434328784
2,geom_forte_foto_leve,0.001,0.15,0.15,0.85,1.15,0.92,1.08,0.1,10.0,6,0.2543482780456543,5,0.9075425863265991,0.8601352443558381,0.9314120063468265,0.9963898916967509,0.7238805970149254,0.8817891373801917,0.9897959183673469,0.8859000584453536
3,foto_forte_geom_leve,0.001,0.05,0.05,0.95,1.05,0.75,1.25,0.05,25.0,6,0.2548973262310028,5,0.9002432823181152,0.8545988469206315,0.9268832784088726,0.9927797833935018,0.7164179104477612,0.8785942492012779,0.9795918367346939,0.8798947983635301
4,forte_comentario_notebook,0.001,0.15,0.15,0.85,1.15,0.8,1.2,0.1,20.0,6,0.25786736607551575,4,0.9075425863265991,0.8493048128342247,0.9243311604668409,0.9927272727272727,0.7058823529411765,0.8722044728434505,0.9795918367346939,0.8745421245421245
5,forte_lr_5e4,0.0005,0.15,0.15,0.85,1.15,0.8,1.2,0.1,20.0,6,0.285935640335083,5,0.8880778551101685,0.849617773530817,0.9263687051690861,0.9963369963369964,0.7028985507246377,0.8690095846645367,0.9897959183673469,0.8751807716781397
6,weak_atual,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.1,20.0,4,0.5718868970870972,1,0.7566909790039062,0.6599155180080035,0.7395456645235134,0.8121387283236994,0.5076923076923077,0.8977635782747604,0.336734693877551,0.6288576296117002
